id,name,php
1,Universal Time Coordinated (UTC),UTC
2,Australian - Eastern,Australia/Canberra
3,Australian - Queensland,Australia/Brisbane
4,Australian - Central,Australia/Adelaide
5,Australian - Western,Australia/Perth
6,New Zealand,Pacific/Auckland
7,United States - Eastern,America/New_York
8,United States - Central,America/Chicago
9,United States - Mountain,America/Denver
10,United States - Mountain (No DST),America/Phoenix
11,United States - Pacific,America/Los_Angeles
12,United States - Alaska,America/Anchorage
13,United States - Hawaii,America/Adak
14,United States - Hawaii (No DST),Pacific/Honolulu
15,Canada - Eastern,America/New_York
16,Canada - Central,America/Chicago
17,Canada - Mountain,America/Denver
18,Canada - Mountain (No DST),America/Phoenix
19,Canada - Pacific,America/Los_Angeles
20,Canada - Newfoundland,Canada/Newfoundland
21,Canada - East-Saskatchewan,Canada/East-Saskatchewan
22,Canada - Saskatchewan,Canada/Saskatchewan
23,Canada - Yukon,Canada/Yukon
24,United Kingdom, Europe/London
25,Afghanistan, Asia/Kabul
26,Aland Islands, Europe/Mariehamn
27,Albania, Europe/Tirane
28,Algeria, Africa/Algiers
29,American Samoa, Pacific/Pago_Pago
30,Andorra, Europe/Andorra
31,Angola, Africa/Luanda
32,Anguilla, America/Anguilla
33,Antigua and Barbuda, America/Antigua
34,Argentina, America/Argentina/Buenos_Aires
35,Armenia, Asia/Yerevan
36,Aruba, America/Aruba
37,Austria, Europe/Vienna
38,Azerbaijan, Asia/Baku
39,Bahamas, America/Nassau
40,Bahrain, Asia/Bahrain
41,Bangladesh, Asia/Dhaka
42,Barbados, America/Barbados
43,Belarus, Europe/Minsk
44,Belgium, Europe/Brussels
45,Belize, America/Belize
46,Benin, Africa/Porto-Novo
47,Bermuda, Atlantic/Bermuda
48,Bhutan, Asia/Thimphu
49,Bolivia, America/La_Paz
50,Bonaire,America/Kralendijk
51,Bosnia and Herzegovina, Europe/Sarajevo
52,Botswana, Africa/Gaborone
53,Brazil - BRT +1, America/Noronha
54,Brazil - BRT, America/Fortaleza
55,Brazil - BRT (No DST), America/Sao_Paulo
56,Brazil - BRT -1, America/Cuiaba
57,Brazil - BRT -1 (No DST), America/Boa_Vista
58,Brazil - BRT -2, America/Rio_Branco
